stage,x_bz,y_bz,T_C,eff
1,0.9217072790513159,0.953196199468489,81.70595439154224,0.6
2,0.8808799581802945,0.9307041134562232,82.57779691411434,0.6
3,0.8296582708858986,0.9015417414054926,83.70722739555414,0.6
4,0.768094690177234,0.8649548219094957,85.12049597791022,0.6
5,0.6979863399321429,0.8209808356890206,86.80991153925578,0.6
6,0.6231372357652467,0.7709034426568128,88.71617815274797,0.6
7,0.5488174965865055,0.7174397968233154,90.7243456072268,0.6
8,0.4847408079090556,0.6643542688384996,92.55733217532224,0.6
9,0.4331143838200204,0.6098656671597819,94.10888909314463,0.6
10,0.37351880846680346,0.5434888361881656,95.99009837153578,0.6
11,0.3090733462863912,0.46686595359117217,98.14291901952363,0.6
12,0.24438030890402504,0.3840075022163566,100.44022694527095,0.6
13,0.1843459094541455,0.3008307398676,102.70672913960982,0.6
14,0.1327299562763404,0.22364365486061208,104.76915116757587,0.6
15,0.09128111952573738,0.15728028648914838,106.50802232484963,0.6
