stage,x_bz,y_bz,T_C,eff
1,0.9230061288191752,0.9580271011357906,81.67861662862933,0.7
2,0.8762957020560177,0.9330121209096359,82.67723468214137,0.6892857142857143
3,0.8170586423061752,0.899647530364525,83.99138094652021,0.6785714285714285
4,0.7464552902595964,0.8573353448289239,85.63253951416036,0.6678571428571428
5,0.6682406843818367,0.8069043790813658,87.55423906853365,0.6571428571428571
6,0.5883588229176008,0.7510368034543957,89.64089415907185,0.6464285714285715
7,0.5133428534553904,0.6939783309799414,91.7269194585983,0.6357142857142857
8,0.4588417898338026,0.6403954956497908,93.32699582054337,0.625
9,0.4019890813457065,0.5779471872536871,95.07885728037212,0.6142857142857143
10,0.3395880214019593,0.5048508477689919,97.10749241896183,0.6035714285714286
11,0.27579971276780696,0.42462091355560283,99.30658655187284,0.5928571428571429
12,0.21523239184854454,0.3426073738831207,101.52366582200287,0.5821428571428572
13,0.16167574386806757,0.2647351041297833,103.59902895774594,0.5714285714285714
14,0.11723899111892509,0.19587655672631313,105.41009173517337,0.5607142857142857
15,0.08226715520765746,0.13874358890598723,106.8964892109011,0.55
