stage,x_bz,y_bz,T_C,eff
1,0.99999999,0.9998301947187322,80.09999356140024,0.7
2,0.99999999,0.9994339913671183,80.09999356140024,0.7
3,0.99999999,0.998113313528405,80.09999356140024,0.7
4,0.99999999,0.9937110540660277,80.09999356140024,0.7
5,0.9739054848054932,0.9790368558581029,80.62596261360153,0.7
6,0.926743325007916,0.953961777733198,81.60009194524329,0.7
7,0.8561592517256821,0.9157356828858318,83.11780543679217,0.7
8,0.716228822627222,0.8621802064851712,86.36172475178633,0.7
9,0.7080061468861607,0.855192662647033,86.56297439348386,0.7
10,0.6934777570013936,0.8431790450109583,86.92164128608069,0.7
11,0.669628261713506,0.8234233959888823,87.51913718747616,0.7
12,0.6323518189753323,0.7919160448895973,88.47543755526752,0.7
13,0.5770409026820678,0.7432976255527636,89.94744915575971,0.7
14,0.5004536749359791,0.6715959029589663,92.09864111980094,0.7
15,0.4040659426514193,0.5726145630744162,95.013294306216,0.7
