stage,x_bz,y_bz,T_C,eff
1,0.9418142091217863,0.9685216858956833,81.28543906700929,0.7
2,0.9047050111910607,0.9494449167714699,82.0660569460978,0.7
3,0.8550175863326666,0.9229383468209531,83.14297101126397,0.7
4,0.7917835334153298,0.8874473290649574,84.5692147030262,0.7
5,0.7164920443438485,0.8422801484097158,86.35530305598843,0.7
6,0.6338976279853022,0.7885005133586587,88.43522312969067,0.7
7,0.5513499634290338,0.7295045016739826,90.6538975247768,0.7
8,0.4804928920035157,0.6705418841337913,92.68239806995656,0.7
9,0.4203563914101965,0.6087827714032871,94.50322972347276,0.7
10,0.3506445570823999,0.5314644134975911,96.73953863018475,0.7
11,0.27696612674667176,0.44183491221899485,99.26516320611937,0.7
12,0.2065949614572704,0.34710550178734506,101.85080992180443,0.7
13,0.14578425550253504,0.25662828927240006,104.23706769088665,0.7
14,0.09771739066169141,0.17844309590202587,106.23294193714023,0.7
15,0.0623722067600508,0.11664284110665551,107.76743954594006,0.7
