stage,x_bz,y_bz,T_C,eff
1,0.9418142091217826,0.9685216858956828,81.28543906700939,0.7
2,0.9047050111910563,0.949444916771468,82.0660569460979,0.7
3,0.855017586332658,0.9229383468209487,83.14297101126417,0.7
4,0.7917835334153165,0.8874473290649508,84.56921470302652,0.7
5,0.716492044343834,0.8422801484097081,86.3553030559888,0.7
6,0.6338976279852873,0.7885005133586491,88.43522312969108,0.7
7,0.5513499634290205,0.7295045016739724,90.65389752477715,0.7
8,0.48049289200350614,0.6705418841337819,92.68239806995688,0.7
9,0.4203563914101854,0.6087827714032762,94.50322972347311,0.7
10,0.35064455708238745,0.5314644134975773,96.7395386301852,0.7
11,0.27696612674665977,0.44183491221897997,99.26516320611978,0.7
12,0.20659496145725972,0.3471055017873305,101.85080992180487,0.7
13,0.14578425550252655,0.25662828927238696,104.23706769088693,0.7
14,0.09771739066168522,0.17844309590201557,106.23294193714052,0.7
15,0.062372206760046615,0.1166428411066481,107.7674395459402,0.7
