stage,x_bz,y_bz,T_C,eff
1,0.9418142091217878,0.9685216858956862,81.28543906700934,0.7
2,0.9047050111910634,0.9494449167714716,82.06605694609777,0.7
3,0.8550175863326683,0.9229383468209544,83.14297101126397,0.7
4,0.7917835334153298,0.8874473290649575,84.5692147030262,0.7
5,0.7164920443438475,0.842280148409716,86.35530305598847,0.7
6,0.6338976279853024,0.7885005133586583,88.43522312969064,0.7
7,0.5513499634290342,0.7295045016739832,90.65389752477678,0.7
8,0.4804928920035161,0.6705418841337916,92.68239806995656,0.7
9,0.42035639141019704,0.6087827714032867,94.50322972347271,0.7
10,0.3506445570823997,0.5314644134975912,96.73953863018477,0.7
11,0.27696612674667176,0.44183491221899474,99.26516320611937,0.7
12,0.20659496145727024,0.3471055017873448,101.85080992180441,0.7
13,0.14578425550253493,0.2566282892723999,104.23706769088662,0.7
14,0.09771739066169134,0.17844309590202576,106.23294193714024,0.7
15,0.062372206760050765,0.11664284110665546,107.76743954594006,0.7
