stage,x_bz,y_bz,T_C,eff
1,0.99999999,0.9993286475362264,80.09999356140024,0.7
2,0.99999999,0.9977621674254323,80.09999356140024,0.7
3,0.99999999,0.9925405670561186,80.09999356140024,0.7
4,0.9687144374944576,0.9751352324917393,80.73168263023686,0.7
5,0.9134472096579576,0.9458027483786791,81.88037719615315,0.7
6,0.8330349226821814,0.9018839146395379,83.63150845624513,0.7
7,0.7308449919111496,0.8419118431600279,86.00706119113313,0.7
8,0.7230794783522739,0.7679408300508277,86.1950069717989,0.7
9,0.4129561097549432,0.5317760556010228,94.73401944921133,0.7
10,0.19220173996969422,0.291594297013863,102.402311810617,0.7
11,0.0741328245928232,0.1218745063405844,107.250313253644,0.7
12,0.021067589281972054,0.03376772216921904,109.63763070192687,0.7
13,1e-08,2.348069678660063e-08,110.62527954830146,0.7
14,1e-08,2.348069678660063e-08,110.62527954830146,0.7
15,1e-08,2.348069678660063e-08,110.62527954830146,0.7
