stage,x_bz,y_bz,T_C,eff
1,0.934201916461633,0.9642937343238375,81.4439688683588,0.7
2,0.8927323776255507,0.9427995787079755,82.32216550536707,0.7
3,0.8379130031671587,0.9131784795393463,83.52244165242682,0.7
4,0.7694258445437756,0.8740217834976393,85.08926352659806,0.7
5,0.689871237566949,0.8251023844809368,87.01129394636052,0.7
6,0.6052084319961403,0.768277665211774,89.18966721509383,0.7
7,0.5234068292601772,0.7078042326611967,91.43946997151117,0.7
8,0.4516526112295576,0.6493745164212237,93.54371897918445,0.7
9,0.3939866274115805,0.5981215035422097,95.33262722363762,0.7
10,0.37327083343771683,0.5569315151007976,95.99813902763346,0.7
11,0.2994021173264526,0.4697178527981616,98.47734731009527,0.7
12,0.22664479812215665,0.3747437892265357,101.09572702105875,0.7
13,0.16196049759797415,0.28119866453529835,103.58769164181285,0.7
14,0.10961478405874774,0.19803313528992061,105.72942269584938,0.7
15,0.0704394422599835,0.13073150359662944,107.41200135904674,0.7
