stage,x_bz,y_bz,T_C,eff
1,0.921624657542089,0.9572498065806925,81.7076941997803,0.7
2,0.8731957416998803,0.9318032715531196,82.74465642020554,0.7
3,0.810512626193092,0.8972111888086849,84.14002564714443,0.7
4,0.7345146225475633,0.852437534875264,85.91862657911341,0.7
5,0.6496279952286034,0.7981532465570298,88.02876415924094,0.7
6,0.5634063072234305,0.7375199413292007,90.32052121728229,0.7
7,0.4841704761923635,0.6759330213255049,92.57409728110814,0.7
8,0.4179667737498481,0.6193359991604579,94.5775878756922,0.7
9,0.3670048197398105,0.5720476402729466,96.20192135812844,0.7
10,0.33023180731902063,0.5356462445514916,97.42182763934048,0.7
11,0.332620816069245,0.5093798071080705,97.3413045904124,0.7
12,0.25735595428135505,0.41544099396922757,99.96784357546898,0.7
13,0.18750761146559397,0.31867188595622564,102.58391934028953,0.7
14,0.1288674042612857,0.22886687376453319,104.92798667862962,0.7
15,0.08372357197228174,0.15347232164470853,106.83346696423631,0.7
