stage,x_bz,y_bz,T_C,eff
1,0.9319579393520421,0.9630423526378177,81.49085676084589,0.7
2,0.8892244461873174,0.9408392002906695,82.3976056784346,0.7
3,0.8329467192296751,0.9103152766016139,83.63348404018396,0.7
4,0.7630163581541554,0.8701169002033688,85.23992853755351,0.7
5,0.6823634145115991,0.820166642292082,87.19872356593076,0.7
6,0.5785253475137664,0.7625573968331538,89.90708120555072,0.7
7,0.5463956606743436,0.7332589761281142,90.79185412032992,0.7
8,0.5027965251013946,0.6919493787628727,92.03077201070533,0.7
9,0.44670544013499475,0.6358933473115593,93.69364573754804,0.7
10,0.37947227671299294,0.5637762380685946,95.79759961037709,0.7
11,0.30565938260159403,0.47733359938277226,98.26062265954972,0.7
12,0.23233553818394276,0.3824313069537821,100.8841450819786,0.7
13,0.16662347818489873,0.2881577927029043,103.40251036314355,0.7
14,0.11308622024453191,0.20367085841892962,105.58370496755813,0.7
15,0.0728136014870718,0.13483724106741043,107.30799134048071,0.7
