stage,x_bz,y_bz,T_C,eff
1,0.9403523868943123,0.967711816608151,81.31581905704066,0.7
2,0.9023971306211912,0.9481693668125524,82.11526116094093,0.7
3,0.8517017686311324,0.9210584694746081,83.21617588589447,0.7
4,0.7874148990531747,0.8848474966245664,84.67016517393695,0.7
5,0.7112370446129073,0.8389283040688823,86.48374891259324,0.7
6,0.6281667077759119,0.7845155508972627,88.58456044251241,0.7
7,0.5456992240019681,0.7251795960136944,90.81129228037796,0.7
8,0.47136534996824153,0.6662742504608772,92.95267644026944,0.7
9,0.4245679237503925,0.6131786261510732,94.37256183222628,0.7
10,0.3551935983838166,0.5366478495671185,96.58923878905237,0.7
11,0.2814273331499083,0.44745228838152123,99.10715939719373,0.7
12,0.2105377846979061,0.35260994736649637,101.70112336703164,0.7
13,0.1489344916946726,0.2614662422139224,104.10974883590019,0.7
14,0.10001677966836618,0.18226200835262213,106.1351277482309,0.7
15,0.06392299863150858,0.11936780717594242,107.69886902737288,0.7
