stage,x_bz,y_bz,T_C,eff
1,0.9218587488556576,0.9579454371780056,81.70276505967921,0.7
2,0.8747556833390323,0.9338876449629417,82.71071069524784,0.7
3,0.8161432885972643,0.9024856012852481,84.01212449665637,0.7
4,0.747530367663435,0.8634106714574699,85.60690629554634,0.7
5,0.6729135987497061,0.8176687241680396,87.43617726102404,0.7
6,0.598205367484117,0.76792421155869,89.37646462637672,0.7
7,0.5295283390084511,0.718118724048475,91.26580827042424,0.7
8,0.4769598770716676,0.6723340383982204,92.78676369227472,0.7
9,0.4284222447983181,0.6219283151547932,94.25340308779697,0.7
10,0.36984933061669306,0.5572114721236517,96.10926805128983,0.7
11,0.3044151297525546,0.47911425321482104,98.30361569849707,0.7
12,0.2375475474872979,0.3918686520626478,100.69140538233906,0.7
13,0.17535239526199922,0.30271187570897484,103.05823608052845,0.7
14,0.12249576219345495,0.21978500607519497,105.19141659943263,0.7
15,0.08097864612059157,0.14930949531685916,106.9523285774844,0.7
