stage,x_bz,y_bz,T_C,eff
1,0.9391764002918421,0.9670596014502435,81.34028049230874,0.7
2,0.9005435328364728,0.9471430291942413,82.15483658122254,0.7
3,0.8490451159649051,0.9195481238689763,83.27495160797092,0.7
4,0.7839267397242502,0.8827635403892871,84.75100037992938,0.7
5,0.7070598938235857,0.836250414503106,86.58621440887356,0.7
6,0.6236351926278877,0.7813455245740596,88.70312356779002,0.7
7,0.5336907658715587,0.7217564522914177,91.14822994112366,0.7
8,0.4869072334302689,0.6767622993920733,92.49372381363598,0.7
9,0.4278734975147658,0.6166120433961297,94.27034317394856,0.7
10,0.3587798061350298,0.5407115257904828,96.47119415576142,0.7
11,0.28496186060429896,0.45187677973082213,98.98245653226208,0.7
12,0.21367702315309073,0.35696799261988216,101.58236685517939,0.7
13,0.15145342624197983,0.26531605875404274,104.00824416746136,0.7
14,0.10186146251223832,0.18531429129690044,106.05683029267387,0.7
15,0.06517000284690395,0.12155319507294703,107.64381521437751,0.7
