stage,x_bz,y_bz,T_C,eff
1,0.965102997656351,0.9808525423738611,80.80544835145987,0.7
2,0.941209268403989,0.9682529065998503,81.29800747748418,0.7
3,0.9057900738326168,0.9491379231979623,82.04295025238733,0.7
4,0.8550929877907149,0.9208025675408643,83.1413083238293,0.7
5,0.7861703190907865,0.8802448987073436,84.69898371801038,0.7
6,0.6990202656192244,0.8251067637474013,86.78434335498571,0.7
7,0.5988553263709451,0.7553867209701522,89.35908359573583,0.7
8,0.4966859717139572,0.6752547695715286,92.20806957165482,0.7
9,0.4133198327125329,0.5921936745315215,94.72264061369931,0.7
10,0.3230367163343435,0.4921543077298117,97.66543281392825,0.7
11,0.2363369736107813,0.3838145680759845,100.73608385245213,0.7
12,0.16251525911239403,0.27977487680770996,103.56561367677521,0.7
13,0.10599299712336861,0.19118881940964533,105.88202663720914,0.7
14,0.06619384992356776,0.12336210502281486,107.59866958727615,0.7
15,0.039810211354734774,0.07560312838305389,108.77838419355248,0.7
