stage,x_bz,y_bz,T_C,eff
1,0.9602727804426148,0.9782904062743623,80.90438644610185,0.7
2,0.933488751824769,0.9642766972941136,81.45886271808638,0.7
3,0.8947010960165148,0.9434446750357893,82.2799070511844,0.7
4,0.8406613836175618,0.9132764982960362,83.46115798121937,0.7
5,0.7694299208006845,0.8712456108746282,85.08916793358661,0.7
6,0.6823731148033605,0.815843362017057,87.19848070474777,0.7
7,0.5857264748091905,0.7481325129080277,89.7119427567573,0.7
8,0.4911567478732079,0.6729629040236724,92.36929537636455,0.7
9,0.4141064182097563,0.5954783376837784,94.69804540508808,0.7
10,0.3292375363178613,0.5013057125395598,97.45539318089497,0.7
11,0.24574228909485535,0.3975770791161333,100.39036086408329,0.7
12,0.17257071363873794,0.29552733251023683,103.16761286370317,0.7
13,0.11484127321996725,0.20609540695275996,105.51023882496844,0.7
14,0.07302280716353224,0.1355372019964846,107.29883908445495,0.7
15,0.04458783642430174,0.08442574348306392,108.56220603839589,0.7
